,year,month,day,hour,DBT,DPT,RH,p_atm,extr_hor_rad,hor_ir_rad,glob_hor_rad,dir_nor_rad,dif_hor_rad,glob_hor_ill,dir_nor_ill,dif_hor_ill,Zlumi,wind_dir,wind_speed,tot_sky_cover,Oskycover,Vis,Cheight,PWobs,PWcodes,Pwater,AsolOptD,SnowD,DaySSnow,fake_year,month_names,DOY,UTC_time,times,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,erf,delta_mrt,MRT,wind_speed_utci,wind_speed_utci_0,utci_noSun_Wind,utci_noSun_noWind,utci_Sun_Wind,utci_Sun_noWind,utci_noSun_Wind_categories,utci_noSun_noWind_categories,utci_Sun_Wind_categories,utci_Sun_noWind_categories,p_sat,p_vap,hr,t_wb,t_dp,h
2019-01-01 09:00:00+00:00,2012,1,1,1,13.2,10.2,82,102038,0,317,0,0,0,0,0,0,0,350,3.1,1,1,777.7,77777,9,999999999,27,0.085,0,88,year,Jan,1,2019-01-01 00:00:00+00:00,2019-01-01T09:00:00.000Z,162.0025354424,162.0025354424,-72.0025354424,-72.0025354424,37.4955345209,-3.3738901535,0.0,0.0,13.2,3.1,0.5,9.1,14.6,9.1,14.6,0,0,0,0,1517.5,1244.35,0.0077333712,11.2,10.2,32778.22
2019-01-01 10:00:00+00:00,2012,1,1,2,11.6,8.6,82,102038,0,318,0,0,0,0,0,0,0,350,6.2,4,4,777.7,77777,9,999999999,23,0.085,0,88,year,Jan,1,2019-01-01 01:00:00+00:00,2019-01-01T10:00:00.000Z,152.6795439469,152.6795439469,-62.6795439469,-62.6795439469,64.6572842659,-3.3936276732,0.0,0.0,11.6,6.2,0.5,0.30000000000000004,13.0,0.30000000000000004,13.0,-1,0,-1,0,1366.0,1120.12,0.006952677700000001,9.7,8.6,29180.62
2019-01-01 11:00:00+00:00,2012,1,1,3,11.9,8.9,82,102028,0,319,0,0,0,0,0,0,0,360,4.1,4,4,777.7,77777,9,999999999,24,0.085,0,88,year,Jan,1,2019-01-01 02:00:00+00:00,2019-01-01T11:00:00.000Z,141.4147335235,141.4147335235,-51.4147335235,-51.4147335235,79.5256976856,-3.4133566348,0.0,0.0,11.9,4.1,0.5,5.0,13.3,5.0,13.3,-1,0,-1,0,1393.4,1142.588,0.007093729000000001,10.0,8.9,29841.39
2019-01-01 12:00:00+00:00,2012,1,1,4,11.5,8.5,82,102057,0,317,0,0,0,0,0,0,0,350,9.0,4,4,777.7,77777,9,999999999,23,0.085,0,88,year,Jan,1,2019-01-01 03:00:00+00:00,2019-01-01T12:00:00.000Z,129.6442349804,129.6442349804,-39.6442349804,-39.6442349804,89.882004193,-3.433076996,0.0,0.0,11.5,9.0,0.5,-4.0,12.9,-4.0,12.9,-2,0,-2,0,1357.0,1112.74,0.0069063608000000005,9.6,8.5,28962.17
2019-01-01 13:00:00+00:00,2012,1,1,5,11.8,8.8,82,102048,0,319,0,0,0,0,0,0,0,360,4.1,4,4,777.7,77777,9,999999999,24,0.085,0,88,year,Jan,1,2019-01-01 04:00:00+00:00,2019-01-01T13:00:00.000Z,117.8556510751,117.8556510751,-27.8556510751,-27.8556510751,98.5417732602,-3.4527887156,0.0,0.0,11.8,4.1,0.5,4.9,13.2,4.9,13.2,-1,0,-1,0,1384.2,1135.044,0.0070463617,9.9,8.8,29620.23
2019-01-01 14:00:00+00:00,2012,1,1,6,13.6,10.6,82,102028,0,329,0,0,0,0,0,0,0,50,2.6,4,4,777.7,77777,9,999999999,28,0.085,0,88,year,Jan,1,2019-01-01 05:00:00+00:00,2019-01-01T14:00:00.000Z,106.3191572881,106.3191572881,-16.3191572881,-16.3191572881,106.7311489373,-3.4724917522,0.0,0.0,13.6,2.6,0.5,10.8,15.0,10.8,15.0,0,0,0,0,1557.6,1277.232,0.007940334700000001,11.6,10.6,33708.1
2019-01-01 15:00:00+00:00,2012,1,1,7,12.8,9.8,82,102018,0,314,0,0,0,0,0,0,0,20,4.1,1,1,777.7,77777,9,999999999,26,0.085,0,88,year,Jan,1,2019-01-01 06:00:00+00:00,2019-01-01T15:00:00.000Z,95.2744352656,95.2744352656,-5.2744352656,-5.2744352656,115.1651563817,-3.4921860638,0.0,0.0,12.8,4.1,0.5,6.2,14.2,6.2,14.2,-1,0,-1,0,1478.3,1212.206,0.0075311842,10.8,9.8,31860.69
2019-01-01 16:00:00+00:00,2012,1,1,8,12.7,9.7,82,102028,0,324,0,0,0,0,0,0,0,20,4.1,4,4,777.7,77777,9,999999999,26,0.085,0,88,year,Jan,1,2019-01-01 07:00:00+00:00,2019-01-01T16:00:00.000Z,84.8444991201,85.0052451637,5.1555008799,4.9947548363,124.3937669069,-3.5118716088,0.0,0.0,12.7,4.1,0.5,6.1,14.1,6.1,14.1,-1,0,-1,0,1468.7,1204.334,0.0074816888000000005,10.7,9.7,31634.01
2019-01-01 17:00:00+00:00,2012,1,1,9,11.5,8.5,82,102087,237,307,84,375,29,9831,769,3399,1141,140,1.5,1,1,777.7,77777,9,999999999,23,0.085,0,88,year,Jan,1,2019-01-01 08:00:00+00:00,2019-01-01T17:00:00.000Z,75.8245236476,75.8893222837,14.1754763524,14.1106777163,134.9108268423,-3.5315483461,108.8,25.0,36.5,1.5,0.5,11.0,12.9,19.7,21.8,0,0,0,0,1357.0,1112.74,0.0069063608000000005,9.6,8.5,28962.17
2019-01-01 18:00:00+00:00,2012,1,1,10,13.0,10.0,82,102138,437,310,218,641,51,25893,22981,6070,2193,20,3.6,0,0,777.7,77777,9,999999999,27,0.085,0,88,year,Jan,1,2019-01-01 09:00:00+00:00,2019-01-01T18:00:00.000Z,68.3907278625,68.4327419555,21.6092721375,21.5672580445,147.1219366507,-3.5512162336,193.5,44.5,57.5,3.6,0.5,7.6,14.4,22.1,28.9,-1,0,0,1,1497.8,1228.196,0.0076317456,11.0,10.0,32318.07
2019-01-01 19:00:00+00:00,2012,1,1,11,13.0,8.5,74,102158,584,308,356,796,65,42877,38827,7848,2972,70,1.0,0,0,777.7,77777,9,999999999,23,0.085,0,88,year,Jan,1,2019-01-01 10:00:00+00:00,2019-01-01T19:00:00.000Z,63.221575228,63.2547138981,26.778424772,26.7452861019,161.1545029098,-3.5708752298,245.6,56.5,69.5,1.0,0.5,13.4,14.1,31.2,31.9,0,0,1,1,1497.8,1108.372,0.0068789504,10.2,8.5,30417.67
2019-01-01 20:00:00+00:00,2012,1,1,12,14.8,10.3,74,102149,667,318,453,859,72,54946,44510,8756,3402,40,1.5,0,0,777.7,77777,9,999999999,27,0.085,0,88,year,Jan,1,2019-01-01 11:00:00+00:00,2019-01-01T20:00:00.000Z,60.9261899098,60.9563119757,29.0738100902,29.0436880243,176.5628498126,-3.5905252934,267.5,61.5,76.3,1.5,0.5,14.3,15.9,32.9,34.2,0,0,2,2,1683.6,1245.864,0.0077428975,11.9,10.2,34431.03
2019-01-01 21:00:00+00:00,2012,1,1,13,15.3,9.3,67,102059,682,319,493,876,76,59742,46844,9235,3597,50,2.6,0,0,777.7,77777,9,999999999,25,0.085,0,88,year,Jan,1,2019-01-01 12:00:00+00:00,2019-01-01T21:00:00.000Z,61.8349216038,61.866185322,28.1650783962,28.133814678,192.2569519922,-3.6101663823,271.8,62.5,77.8,2.6,0.5,12.2,16.1,31.1,34.6,0,0,1,2,1738.7,1164.929,0.0072340458,11.6,9.2,33653.33
2019-01-01 22:00:00+00:00,2012,1,1,14,16.1,10.1,68,101970,627,323,474,862,75,56904,44304,9028,3455,30,4.6,0,0,777.7,77777,9,999999999,27,0.085,0,88,year,Jan,1,2019-01-01 13:00:00+00:00,2019-01-01T22:00:00.000Z,65.8118539906,65.8490093551,24.1881460094,24.1509906449,206.989362653,-3.6297984552,263.1,60.5,76.6,4.6,0.5,9.2,16.9,27.4,34.7,0,0,1,2,1830.1,1244.468,0.0077341136,12.4,10.2,35732.18
2019-01-01 23:00:00+00:00,2012,1,1,15,16.7,10.7,68,101910,507,327,398,812,71,46805,36729,8373,3059,10,3.6,0,0,777.7,77777,9,999999999,28,0.085,0,88,year,Jan,1,2019-01-01 14:00:00+00:00,2019-01-01T23:00:00.000Z,72.3368415883,72.3887630914,17.6631584117,17.6112369086,220.0107243446,-3.6494214708,240.6,55.3,72.0,3.6,0.5,11.9,17.5,28.4,33.8,0,0,1,2,1901.4,1292.952,0.0080393264,13.0,10.7,37115.49
